Stap;Instructie
1;Voor hoeveel mensen wil je een afspraak maken? Druk op de plus knop om mensen toe te voegen aan het witte vakje.
2;Klik op de knop '2 Kies een locatie'
3;Kies de locatie voor je afspraak
4;Kies een dag voor je afspraak
5;Kies een tijd voor je afspraak
6;Vul je achternaam in
7;Vul je voornaam in
8;Vul je geboortedatum in of klik op de kalenderknop rechts.
9;Vul je e-mailadres in
"10;Als je je telefoonnummer in wilt vullen, vul dit dan in bij het veld 'mobiel telefoonnummer'."
11;Klik op 'Maak een afspraak'
"12;Je moet meenemen: je oude paspoort, geld of een bankpas om voor het paspoort te betalen en een foto van jezelf in kleur. Deze foto moet voldoen aan de eisen voor pasfoto's."
